

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
184.948  000.103  000.103: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/termwrapper.nvim/plugin/termwrapper.vim
185.594  000.094  000.094: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/autoload/UltiSnips/map_keys.vim
185.689  000.655  000.562: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
185.758  000.019  000.019: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
185.984  000.163  000.163: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
186.349  000.265  000.265: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
189.120  002.689  002.689: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
189.438  000.212  000.212: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
189.945  000.423  000.423: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-exchange/plugin/exchange.vim
190.483  000.437  000.437: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-floaterm/plugin/floaterm.vim
192.284  001.712  001.712: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
192.360  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
192.850  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
193.353  000.170  000.170: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
194.429  000.247  000.247: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
194.683  000.128  000.128: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
195.620  000.364  000.364: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
196.452  000.516  000.516: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
198.036  005.602  004.159: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
198.832  000.588  000.588: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/operator/sandwich.vim
199.099  000.242  000.242: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/sandwich.vim
199.335  000.211  000.211: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/textobj/sandwich.vim
199.583  000.131  000.131: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-smoothie/plugin/smoothie.vim
199.708  000.041  000.041: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
209.440  009.653  009.653: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-unimpaired/plugin/unimpaired.vim
210.191  000.649  000.649: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
210.425  000.141  000.141: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/plugin/vsnip_integ.vim
210.605  000.093  000.093: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/zoom.nvim/plugin/zoom.vim
210.684  004.893: loading packages
210.904  000.031  000.031: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/integration.vim
211.050  000.057  000.057: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/detection.vim
213.574  002.781  002.693: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/after/plugin/vsnip_integ.vim
213.670  000.008  000.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
213.874  000.136  000.136: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/after/plugin/UltiSnips_after.vim
214.448  000.505  000.505: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indentLine/after/plugin/indentLine.vim
215.480  000.947  000.947: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-buffers/after/plugin/completion_buffers.vim
215.557  000.496: loading after plugins
215.571  000.014: inits 3
218.107  002.536: reading ShaDa
220.419  000.040  000.040: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/re.vim
220.917  002.770: opening buffers
226.279  005.362: BufEnter autocommands
226.284  000.004: editing files in windows
226.645  000.361: VimEnter autocommands
227.273  000.340  000.340: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/autoload/firenvim.vim
227.305  000.320: UIEnter autocommands
227.903  000.243  000.243: sourcing /usr/share/nvim/runtime/autoload/provider/clipboard.vim
227.911  000.363: before starting main loop
228.265  000.115  000.115: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/pos.vim
228.656  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/autoload/indent_blankline.vim
230.772  002.727: first screen update
230.775  000.003: --- NVIM STARTED ---
